ID,title,descr
CASH,Cash,"Liquid assets such as cash in hand, checking accounts, or savings."
RE,Real Estate,"Properties owned, including homes, land, and commercial buildings."
STK,Stocks,"Shares of publicly traded companies."
MF,Mutual Funds,"Classified into Equity Funds, Debt Funds, Hybrid Funds"
BND,Bonds,"Debt securities, like government or corporate bonds."
RET,Retirement Accounts,"Accounts like 401(k), IRA, or pension funds."
COM,Commodities,"Include metals, energy resources, and agricultural goods.."
